"book","main","Main text block",,"//==================================
// Main text block
//==================================",,,,,,
"string","maintext-0x2378_0",,,"[call19]<$89><$5B>
[setpos]<$02><$05>
SKYLINE　2000RS　TURBO-C
[setpos]<$05><$04>
NISSAN
[setpos]<$05><$0D>
FJ20DET　DOHC・6
[setpos]<$0C><$17>
980
[setpos]<$0E><$17>
FR
[setpos]<$08><$16>
250[kg's/_4]3000
[setpos]<$0A><$16>
32.5[kg's/_4]2000",,,"=IF(F465=I465, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x1B89"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2378"",
      ""type"": ""small""
    }
  ]
}"
"page","textscript-section-0x23D1","Parts and upgrades list",,"//=====
// Parts and upgrades list
//=====",,,,,,
,,,,"//=====
// String start: maintext-0x23D1
//=====",,,,,,
"string","maintext-0x23D1_1",,,"　　　　パーツリスト",,,"=IF(F468=I468, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x23D1"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x23E0
//=====",,,,,,
"string","maintext-0x23E0_1",,,"　　　　チューンナップ",,,"=IF(F470=I470, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x23E0"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x23F0
//=====",,,,,,
"string","maintext-0x23F0_0",,,"
[setpos]<$02><$02>
[call19]<$06><$26>",,,"=IF(F472=I472, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x23F0"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x23F7
//=====",,,,,,
"string","maintext-0x23F7_0",,,"
[setpos]<$04><$02>
[call19]<$06><$26>",,,"=IF(F474=I474, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x23F7"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x23FE
//=====",,,,,,
"string","maintext-0x23FE_0",,,"
[setpos]<$06><$02>
[call19]<$06><$26>",,,"=IF(F476=I476, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x23FE"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2405
//=====",,,,,,
"string","maintext-0x2405_0",,,"
[setpos]<$08><$02>
[call19]<$06><$26>",,,"=IF(F478=I478, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2405"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x240C
//=====",,,,,,
"string","maintext-0x240C_0",,,"アルミホイール",,,"=IF(F480=I480, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x240C"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2416
//=====",,,,,,
"string","maintext-0x2416_0",,,"マグホイール",,,"=IF(F482=I482, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2416"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2420
//=====",,,,,,
"string","maintext-0x2420_0",,,"マフラー",,,"=IF(F484=I484, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2420"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2427
//=====",,,,,,
"string","maintext-0x2427_0",,,"ハイグリップタイヤ",,,"=IF(F486=I486, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2427"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2435
//=====",,,,,,
"string","maintext-0x2435_0",,,"リアスポイラー",,,"=IF(F488=I488, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2435"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2440
//=====",,,,,,
"string","maintext-0x2440_0",,,"フロントスポイラー",,,"=IF(F490=I490, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2440"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x244D
//=====",,,,,,
"string","maintext-0x244D_0",,,"サイドステップ",,,"=IF(F492=I492, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x244D"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2459
//=====",,,,,,
"string","maintext-0x2459_0",,,"たこあし",,,"=IF(F494=I494, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2459"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2460
//=====",,,,,,
"string","maintext-0x2460_0",,,"LSD",,,"=IF(F496=I496, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2460"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2466
//=====",,,,,,
"string","maintext-0x2466_0",,,"ターボ",,,"=IF(F498=I498, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2466"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x246D
//=====",,,,,,
"string","maintext-0x246D_0",,,"スーパーチャージャー",,,"=IF(F500=I500, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x246D"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x247C
//=====",,,,,,
"string","maintext-0x247C_0",,,"インタークーラー",,,"=IF(F502=I502, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x247C"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2487
//=====",,,,,,
"string","maintext-0x2487_0",,,"　　　　　　　　　　　　　　　",,,"=IF(F504=I504, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2487"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2499
//=====",,,,,,
"string","maintext-0x2499_0",,,"CPUチューン",,,"=IF(F506=I506, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2499"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x24A4
//=====",,,,,,
"string","maintext-0x24A4_0",,,"ポートけんま",,,"=IF(F508=I508, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x24A4"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x24AF
//=====",,,,,,
"string","maintext-0x24AF_0",,,"あっしゅくひアップ",,,"=IF(F510=I510, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x24AF"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x24BD
//=====",,,,,,
"string","maintext-0x24BD_0",,,"ボアアップ",,,"=IF(F512=I512, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x24BD"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x24C7
//=====",,,,,,
"string","maintext-0x24C7_0",,,"けいりょうか",,,"=IF(F514=I514, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x24C7"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x24D0
//=====",,,,,,
"string","maintext-0x24D0_0",,,"サイド　ポート",,,"=IF(F516=I516, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x23D1"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x24D0"",
      ""type"": ""small""
    }
  ]
}"
"page","textscript-section-0x24DC","Miscellaneous",,"//=====
// Miscellaneous
//=====",,,,,,
,,,,"//=====
// String start: maintext-0x24DC
//=====",,,,,,
"string","maintext-0x24DC_1",,,"[speed]<$FF>
[setpos]<$02><$04>
クルマのデータ
[setpos]<$04><$04>
セーブ
[setpos]<$06><$04>
パスワード",,,"=IF(F519=I519, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x24DC"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x24DC"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x24FF
//=====",,,,,,
"string","maintext-0x24FF_1",,,"[speed]<$FF>
[setpos]<$02><$04>",,,"=IF(F521=I521, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x24DC"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x24FF"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2508
//=====",,,,,,
"string","maintext-0x2508_0",,,"
[setpos]<$04><$03>",,,"=IF(F523=I523, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x24DC"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2508"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x250E
//=====",,,,,,
"string","maintext-0x250E_0",,,"
[setpos]<$04><$0B>",,,"=IF(F525=I525, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x24DC"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x250E"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2514
//=====",,,,,,
"string","maintext-0x2514_0",,,"
[setpos]<$06><$03>",,,"=IF(F527=I527, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x24DC"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2514"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x251A
//=====",,,,,,
"string","maintext-0x251A_0",,,"
[setpos]<$06><$0B>",,,"=IF(F529=I529, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x1B89"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": ""textscript-section-0x24DC"",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x251A"",
      ""type"": ""small""
    }
  ]
}"
"chapter","textscript-section-0x2520","Security guard job",,"//==================================
// Security guard job
//==================================",,,,,,
,,,,"//=====
// String start: maintext-0x2520
//=====",,,,,,
"string","maintext-0x2520_0",,,"どろぼう",,,"=IF(F532=I532, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x2520"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2520"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2528
//=====",,,,,,
"string","maintext-0x2528_0",,,"メタルどろぼう",,,"=IF(F534=I534, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x2520"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2528"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2534
//=====",,,,,,
"string","maintext-0x2534_0",,,"ネズミ",,,"=IF(F536=I536, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x2520"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2534"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x253B
//=====",,,,,,
"string","maintext-0x253B_0",,,"ボコチョ",,,"=IF(F538=I538, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x2520"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x253B"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2543
//=====",,,,,,
"string","maintext-0x2543_1",,,"かいしんのいちげき！！[delay]<$C8>",,,"=IF(F540=I540, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x2520"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2543"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2553
//=====",,,,,,
"string","maintext-0x2553_1",,,"つうこんのいちげき！！[delay]<$C8>",,,"=IF(F542=I542, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x2520"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2553"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2563
//=====",,,,,,
"string","maintext-0x2563_1",,,"カギが　かかっている",,,"=IF(F544=I544, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x2520"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2563"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2573
//=====",,,,,,
"string","maintext-0x2573_1",,,"まだ　ぜんぶみてなかったな\n
もういちど　みてこよう",,,"=IF(F546=I546, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x2520"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2573"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x2592
//=====",,,,,,
"string","maintext-0x2592_1",,,"あいかわらず　ぶきみだなあ・・・",,,"=IF(F548=I548, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x2520"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x2592"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x25A7
//=====",,,,,,
"string","maintext-0x25A7_1",,,"いじょうなし",,,"=IF(F550=I550, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x2520"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x25A7"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x25B0
//=====",,,,,,
"string","maintext-0x25B0_1",,,"このへやは　もうみたな",,,"=IF(F552=I552, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x2520"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x25B0"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x25BD
//=====",,,,,,
