,,,,"//=====
// String start: maintext-0x2592
//=====",,,,,,
"string","maintext-0x2592_1",,,"あいかわらず　ぶきみだなあ・・・","It's as creepy as ever in here...",,"=IF(F548=I548, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2592"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x25A7
//=====",,,,,,
"string","maintext-0x25A7_1",,,"いじょうなし","Nothing unusual here.",,"=IF(F550=I550, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x25A7"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x25B0
//=====",,,,,,
"string","maintext-0x25B0_1",,,"このへやは　もうみたな","I've already checked this room.",,"=IF(F552=I552, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x25B0"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x25BD
//=====",,,,,,
"string","maintext-0x25BD_1",,,"よし　ぜんぶまわったぞ！\n
これでかえれる","Okay, that's all of 'em!\n
Now I can head home.",,"=IF(F554=I554, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x25BD"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x25D7
//=====",,,,,,
"string","maintext-0x25D7_1",,,"ん？　なにか　ものおとがする","Huh? What was that noise?",,"=IF(F556=I556, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x25D7"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x25E8
//=====",,,,,,
"string","maintext-0x25E8_1",,,"わっ！！　なんだ　ネズミか・・・","GAH!\n
Oh, a mouse...",,"=IF(F558=I558, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x25E8"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x25FE
//=====",,,,,,
"string","maintext-0x25FE_1",,,"あっ！　[delay]<$1E>[call19]<$06><$26>！！","Ack! [delay]<$1E>A [call19]<$06><$26>!",,"=IF(F560=I560, ""UNTRANSLATED"", """")",,"displays name of enemy. all of them begin with a consonant sound, so ""a"" is fine here. — Supper (2025-04-10 04:53:45)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x25FE"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x260C
//=====",,,,,,
"string","maintext-0x260C_1",,,"[speed]<$FF>　HP　[num3ff]<$0B><$25>\n
　MP　[num3ff]<$0C><$25>\n
　あ:[num3]<$1E><$26>","[speed]<$FF>　[monospace]HP　[num3ff]<$0B><$25>[std]\n
　[monospace]MP　[num3ff]<$0C><$25>[std]\n
　[monospace]A:[num3]<$1E><$26>[std]",,"=IF(F562=I562, ""UNTRANSLATED"", """")",,"the ""あ"" field prints your character's age — Supper (2025-04-10 04:58:20)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x260C"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2628
//=====",,,,,,
"string","maintext-0x2628_0",,,"
[setpos]<$00><$03>
\p","[setpos]<$00><$03>
[4px][monospace]\p[std]",,"=IF(F564=I564, ""UNTRANSLATED"", """")",,"prints player's name at top of status box. name could be any number of pixels in length (up to 40), so we just have to go with a position that will hopefully look decent on average. — Supper (2025-04-16 18:16:09)
actually, since this is supposed to look like an old RPG and we've got this monospace font and all, why not use it? if I was being more dedicated I suppose I'd have done all the messages in monospace, but I'm really not interested in creating period-accurate truncated translations for this. — Supper (2025-04-19 12:16:44)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2628"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x262F
//=====",,,,,,
"string","maintext-0x262F_0",,,"
[setpos]<$00><$03>
[call19]<$08><$22>","[setpos]<$00><$03>
[call19]<$08><$22>",,"=IF(F566=I566, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x262F"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2636
//=====",,,,,,
"string","maintext-0x2636_0",,,"
[setpos]<$00><$03>
コマンド
[resetPos]
[speed]<$FF>　　たたかう\n
　　まほう\n
　　どうぐ\n","[setpos]<$00><$02>
[1px][1px]Command
[resetPos]
[speed]<$FF>
　　Fight\n
　　Magic\n
　　Item\n",,"=IF(F568=I568, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2636"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2659
//=====",,,,,,
"string","maintext-0x2659_1",,,"[call19]<$06><$26>が　あらわれた","[call19]<$06><$26> appeared.",,"=IF(F570=I570, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2659"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2666
//=====",,,,,,
"string","maintext-0x2666_1",,,"\pの　こうげき","\p's attack.",,"=IF(F572=I572, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2666"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2673
//=====",,,,,,
"string","maintext-0x2673_1",,,"[call19]<$06><$26>の　せんせいこうげき[delay]<$32>","[call19]<$06><$26>'s preemptive attack.[delay]<$32>",,"=IF(F574=I574, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2673"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2686
//=====",,,,,,
"string","maintext-0x2686_1",,,"[call19]<$06><$26>の　こうげき","[call19]<$06><$26>'s attack.",,"=IF(F576=I576, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2686"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2692
//=====",,,,,,
"string","maintext-0x2692_1",,,"[call19]<$06><$26>に[num3ff]<$15><$25>ポイントの\n
ダメージを　あたえた","[call19]<$06><$26> took [num3ff]<$15><$25> points of damage.",,"=IF(F578=I578, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2692"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x26B3
//=====",,,,,,
"string","maintext-0x26B3_1",,,"\pは　[num3ff]<$15><$25>ポイントの\n
ダメージを　うけた","\p took [num3ff]<$15><$25> points of damage.",,"=IF(F580=I580, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x26B3"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x26D4
//=====",,,,,,
"string","maintext-0x26D4_1",,,"ちわっス！","Yo!",,"=IF(F582=I582, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x26D4"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x26DD
//=====",,,,,,
"string","maintext-0x26DD_1",,,"おっ　きたきた\n
げんばは　いつものビル\n
ちゃんと　ぜんぶのへや　まわってくれよ","Oh, you're here. You'll be in the usual building. Make sure you check all the rooms.",,"=IF(F584=I584, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x26DD"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x270E
//=====",,,,,,
"string","maintext-0x270E_1",,,"わかりました","Got it.",,"=""DUPE: ""&ADDRESS(ROW(F387), COLUMN(F387), 4)",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""contentIsDupeOf"":"""",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x270E"",""type"":""small""}],""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2716
//=====",,,,,,
"string","maintext-0x2716_1",,,"いらっしゃいまほう！","Abra-cadabra, alaka-ZAKHSTAN!!",,"=IF(F588=I588, ""UNTRANSLATED"", """")",,"Apparently, いらっしゃいまほ is something our ol' pal ""Detective"" Sanma Akashiya used to say as a gag. I guess my fan translation ""career"" is just going in endless circles. Anyway, it's untranslatable, so here's something else. — Supper (2025-04-11 06:51:16)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2716"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2723
//=====",,,,,,
"string","maintext-0x2723_1",,,"テクマクマザコンおとこは、\n
なさけない！","Super-cali-fragi-listEXPLOSION!!",,"=IF(F590=I590, ""UNTRANSLATED"", """")",,"parodying the magic words uttered by the titular protagonist of the magical girl series Himitsu no Akko-chan when she uses her magic mirror to transform into somebody: 「テクマクマヤコン テクマクマヤコン　○○になれ～」 (thanks Pixipedia). here, マヤコン is twisted to マザコン. I guess it really shouldn't surprise me that there's a ""~con"" term for mothers, though the dictionary claims it also can just mean ""a mama's boy"".
TODO: localize? is that even possible short of making something completely different up? — Supper (2025-04-11 06:38:31)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2723"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x273D
//=====",,,,,,
"string","maintext-0x273D_1",,,"マハリーク　マハーリタ\n
ヤンバルクッイッナッ　！","Yabba-dabba-DOOOOOOMSDAY!!",,"=IF(F592=I592, ""UNTRANSLATED"", """")",,"derived from the opening lyrics to the Mahou Tsukai Sally theme ([url]https://www.youtube.com/watch?v=jk5vDJYIXlM[/url]), which I'm pretty sure are meant to be ""magic-like"" mumbo-jumbo: マハリクマハリタ　ヤンバラヤンヤンヤン
(the last part is twisted to ヤンバルクイナ, the name of a bird species: [url]https://en.wikipedia.org/wiki/Okinawa_rail[/url])
TODO: do we want to try to localize or replace this? — Supper (2025-04-11 06:27:47)
apparently, yes — Supper (2025-04-19 16:43:00)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x273D"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x275A
//=====",,,,,,
"string","maintext-0x275A_1",,,"ギャハハハ\n
[call19]<$06><$26>は、うけた！","Gar-har-har-har!\n
[call19]<$06><$26> was amused!",,"=IF(F594=I594, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x275A"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x276F
//=====",,,,,,
"string","maintext-0x276F_1",,,"[call19]<$AA><$6C>\pは、はずした","// generic row of ellipses
[call19]<$AA><$6C>
\p missed.",,"=IF(F596=I596, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x276F"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2780
//=====",,,,,,
"string","maintext-0x2780_1",,,"\pは、ちかくにあった\n
[call19]<$09><$26>を、なげつけた！","\p throws a nearby [call19]<$09><$26>!",,"=IF(F598=I598, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2780"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x279E
//=====",,,,,,
"string","maintext-0x279E_0",,,"ゴキブリホイホイ","Hoy Hoy Trap-a-Roach",,"=IF(F600=I600, ""UNTRANSLATED"", """")",,"an actual brand of roach trap, which is in fact sold under this name internationally — Supper (2025-04-19 15:24:42)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x279E"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x27AA
//=====",,,,,,
"string","maintext-0x27AA_0",,,"エッチな本","porno mag",,"=IF(F602=I602, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x27AA"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x27B2
//=====",,,,,,
"string","maintext-0x27B2_0",,,"ティシュペーパー","tissue paper",,"=IF(F604=I604, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x27B2"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x27BE
//=====",,,,,,
"string","maintext-0x27BE_0",,,"ハサミ","pair of scissors",,"=IF(F606=I606, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x27BE"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x27C3
//=====",,,,,,
"string","maintext-0x27C3_1",,,"ひえー！！ワテは\n
ゴキブリが、だいきらいなんやー！","EEEP! I hate cockroaches, them little varmints!",,"=IF(F608=I608, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x27C3"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x27E7
//=====",,,,,,
"string","maintext-0x27E7_1",,,"おお！　ごっついなー\n
[call19]<$06><$26>は、ゆだんした！","Whooooo mama!\n
[call19]<$06><$26> lowered its guard!",,"=IF(F610=I610, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x27E7"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2803
//=====",,,,,,
"string","maintext-0x2803_1",,,"そんなもん　きかへんで","That ain't gonna work.",,"=IF(F612=I612, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2803"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2812
//=====",,,,,,
"string","maintext-0x2812_1",,,"うわっ！　あぶないやないか\n
ささったら、どないすんねんなー","Whoa! Watch it, ya dumbo! You could hurt a fella doin' that!",,"=IF(F614=I614, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2812"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2834
//=====",,,,,,
"string","maintext-0x2834_1",,,"[call19]<$06><$26>を　やっつけた！[delay]<$64>","Defeated [call19]<$06><$26>!
[delay]<$64>",,"=IF(F616=I616, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2834"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2843
//=====",,,,,,
"string","maintext-0x2843_1",,,"どうだ　まいったか\n
けいさつに　つきだしてやる","How'd ya like [b]that[std], huh!?\n
I'm handing you over to the cops, bub!",,"=IF(F618=I618, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2843"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x285F
//=====",,,,,,
"string","maintext-0x285F_1",,,"\pくん　おおてがらだよ！\n
はい　バイトだいと　りんじボーナスだ\n
[num3ff]<$BA><$20>万円はいってるよ","Fantastic work, \p! Here's your wages, plus a bonus of ¥[num3ff]<$BA><$20>0,000.",,"=IF(F620=I620, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x285F"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x289B
//=====",,,,,,
"string","maintext-0x289B_1",,,"[call19]<$E5><$6C>ございました","Thanks a bunch.",,"=IF(F622=I622, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x289B"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x28A8
//=====",,,,,,
"string","maintext-0x28A8_1",,,"ウーン　やられた・・・","Ugh...He got me...",,"=IF(F624=I624, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x28A8"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x28B7
//=====",,,,,,
"string","maintext-0x28B7_1",,,"イテテテ・・・　オレは　どうしたんだ？\n","Oof...What happened?",,"=IF(F626=I626, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x28B7"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0x28B7_3",,,"・・・そうか　[call19]<$06><$26>に・・・\n
よかった　なにも　とられてないぞ\n
はずかしいから　だまっとこう","...Oh, right, that [call19]<$06><$26> did a number on me.[wait][clear]

Whew, looks like nothing's been taken. I'll just keep quiet about this little embarrassment...",,"=IF(F627=I627, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x2520"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2905
//=====",,,,,,
